"year"	"category"	"n"	"l"
"2013"	"Arizona"	6122	5212
"2013"	"Arkansas"	3891	6863
"2013"	"California"	2271	7464
"2013"	"Colorado"	8182	3141
"2013"	"Connecticut"	8500	7982
"2013"	"Delaware"	16435	5960
"2013"	"Florida"	2984	4591
"2013"	"Georgia"	4196	6583
"2013"	"Hawaii"	5497	10880
"2013"	"Idaho"	3682	6132
"2013"	"Illinois"	5473	9721
"2013"	"Indiana"	7566	5138
"2013"	"Iowa"	8050	5378
"2013"	"Kansas"	5663	5771
"2013"	"Kentucky"	5743	6380
"2013"	"Louisiana"	3927	5144
"2013"	"Maine"	8696	6320
"2013"	"Maryland"	7561	6892
"2013"	"Massachusetts"	5958	6947
"2013"	"Michigan"	11286	4885
"2013"	"Minnesota"	8270	5070
"2013"	"Mississippi"	3528	5344
"2013"	"Missouri"	5352	5310
"2013"	"Montana"	5788	4624
"2013"	"Nebraska"	5483	7925
"2013"	"Nevada"	3753	6512
"2013"	"New Hampshire"	10821	1923
"2013"	"New Jersey"	8575	6509
"2013"	"New Mexico"	3271	7956
"2013"	"New York"	4985	8972
"2013"	"North Carolina"	3670	8061
"2013"	"North Dakota"	7324	7405
"2013"	"Ohio"	7683	4367
"2013"	"Oklahoma"	4559	6372
"2013"	"Oregon"	6836	4148
"2013"	"Pennsylvania"	10070	4030
"2013"	"Rhode Island"	12100	4991
"2013"	"South Carolina"	7465	4445
"2013"	"South Dakota"	7958	4864
"2013"	"Tennessee"	5141	5749
"2013"	"Texas"	4369	6353
"2013"	"Utah"	4960	5465
"2013"	"Vermont"	14690	3040
"2013"	"Virginia"	7669	4628
"2013"	"Washington"	5250	5120
"2013"	"West Virginia"	5467	5104
"2013"	"Wisconsin"	5404	6211
"2013"	"Wyoming"	2324	14700
"2014"	"Alabama"	8990	5149
"2014"	"Alaska"	6114	17153
"2014"	"Arizona"	6720	5331
"2014"	"Arkansas"	4395	6794
"2014"	"California"	2144	7728
"2014"	"Colorado"	9032	3364
"2014"	"Connecticut"	9504	8820
"2014"	"Delaware"	16645	6079
"2014"	"Florida"	2937	5456
